#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_anderfels;Anderfels;Anderfels;Anderfels;;Anderfels;;;;;;;;;x
e_anderfels_adj;Anderfelsian;;anderfelser;;;;;;;;;;;x
e_antiva;Antiva;Antiva;Antiva;;Antiva;;;;;;;;;x
e_antiva_adj;Antivan;;antiver;;;;;;;;;;;x
e_avvars;Avvars;Avvars;Avvars;;Avvars;;;;;;;;;x
e_avvars_adj;Avvarsian;;avvarser;;;;;;;;;;;x
e_deep_roads;Deep Roads;Deep Roads;Deep Roads;;Deep Roads;;;;;;;;;x
e_deep_roads_adj;Deep Roadsian;;Deep Roadser;;;;;;;;;;;x
e_ferelden;Ferelden;Ferelden;Ferelden;;Ferelden;;;;;;;;;x
e_ferelden_adj;Fereldenian;;fereldener;;;;;;;;;;;x
e_free_marches;Free Marches;Free Marches;Free Marches;;Free Marches;;;;;;;;;x
e_free_marches_adj;Free Marchesian;;Free Marcheser;;;;;;;;;;;x
e_nevarra;Nevarra;Nevarra;Nevarra;;Nevarra;;;;;;;;;x
e_nevarra_adj;Nevarran;;nevarrer;;;;;;;;;;;x
e_orlais;Orlais;Orlais;Orlais;;Orlais;;;;;;;;;x
e_orlais_adj;Orlaisian;;orlaiser;;;;;;;;;;;x
e_rivain;Rivain;Rivain;Rivain;;Rivain;;;;;;;;;x
e_rivain_adj;Rivainian;;rivainer;;;;;;;;;;;x
e_tevinter_imperium;Tevinter Imperium;Tevinter Imperium;Tevinter Imperium;;Tevinter Imperium;;;;;;;;;x
e_tevinter_imperium_adj;Tevinter Imperiumian;;Tevinter Imperiumer;;;;;;;;;;;x
e_the_qun;The Qun;The Qun;The Qun;;The Qun;;;;;;;;;x
e_the_qun_adj;The Qunian;;The Quner;;;;;;;;;;;x
